algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter
Binary Tree/Simple, 0.000, 325.430, 647.140, 323.430, 0.000, 2590.000, 1296.000, 1295.000, 0.000, 133.660
std deviation, 0.000, 7.828, 15.657, 7.828, 0.000, 0.000, 0.000, 0.000, 0.000, 3.729
Breadth-first search, 0.000, 92.840, 1114.970, 85.540, 2.650, 2590.000, 1296.000, 1295.000, 0.000, 90.960
std deviation, 0.000, 17.254, 34.020, 16.406, 1.276, 0.000, 0.000, 0.000, 0.000, 9.077
Depth-first search, 0.000, 132.670, 1034.490, 127.010, 1.830, 2590.000, 1296.000, 1295.000, 0.000, 633.860
std deviation, 0.000, 6.290, 12.672, 6.869, 1.327, 0.000, 0.000, 0.000, 0.000, 73.589
Eller, 0.000, 374.540, 591.740, 286.900, 42.820, 2590.000, 1296.000, 1295.000, 0.000, 186.770
std deviation, 0.000, 9.951, 18.870, 13.110, 6.134, 0.000, 0.000, 0.000, 0.000, 20.350
Fractal Tess/ident, 0.000, 372.090, 592.360, 293.010, 38.540, 2590.000, 1296.000, 1295.000, 0.000, 206.150
std deviation, 0.000, 95.075, 167.909, 71.000, 36.357, 0.000, 0.000, 0.000, 0.000, 38.953
Fractal Tess/rotate, 0.000, 391.660, 565.230, 288.560, 50.550, 2590.000, 1296.000, 1295.000, 0.000, 216.620
std deviation, 0.000, 103.550, 176.735, 74.815, 46.653, 0.000, 0.000, 0.000, 0.000, 50.503
Fractal Tess/dihedral, 0.000, 355.340, 619.420, 289.140, 32.100, 2590.000, 1296.000, 1295.000, 0.000, 221.340
std deviation, 0.000, 100.509, 182.391, 80.484, 34.241, 0.000, 0.000, 0.000, 0.000, 59.656
Hunt & Kill, 0.000, 146.960, 1008.110, 136.900, 4.030, 2590.000, 1296.000, 1295.000, 0.000, 300.780
std deviation, 0.000, 7.099, 13.717, 6.790, 1.746, 0.000, 0.000, 0.000, 0.000, 51.198
Inwinder, 0.000, 374.570, 590.120, 290.050, 41.260, 2590.000, 1296.000, 1295.000, 0.000, 86.190
std deviation, 0.000, 8.132, 15.206, 11.225, 5.572, 0.000, 0.000, 0.000, 0.000, 4.498
Kruskal, 0.000, 393.760, 561.020, 290.680, 50.540, 2590.000, 1296.000, 1295.000, 0.000, 169.990
std deviation, 0.000, 8.391, 14.599, 10.463, 5.987, 0.000, 0.000, 0.000, 0.000, 28.225
Outward Eller, 0.000, 372.740, 593.270, 289.240, 40.750, 2590.000, 1296.000, 1295.000, 0.000, 245.290
std deviation, 0.000, 8.237, 15.704, 10.974, 5.078, 0.000, 0.000, 0.000, 0.000, 22.641
Outwinder, 0.000, 356.750, 612.500, 298.750, 28.000, 2590.000, 1296.000, 1295.000, 0.000, 173.800
std deviation, 0.000, 8.890, 16.432, 9.828, 4.607, 0.000, 0.000, 0.000, 0.000, 8.323
Prim, 0.000, 394.660, 558.460, 293.100, 49.780, 2590.000, 1296.000, 1295.000, 0.000, 173.830
std deviation, 0.000, 8.394, 16.230, 11.962, 5.509, 0.000, 0.000, 0.000, 0.000, 24.561
Prim/Vertex, 0.000, 580.360, 279.110, 294.700, 141.830, 2590.000, 1296.000, 1295.000, 0.000, 146.640
std deviation, 0.000, 7.402, 12.385, 12.000, 7.188, 0.000, 0.000, 0.000, 0.000, 21.513
Prim/Simplified, 0.000, 356.090, 620.000, 285.730, 34.180, 2590.000, 1296.000, 1295.000, 0.000, 105.820
std deviation, 0.000, 10.589, 19.317, 11.226, 5.454, 0.000, 0.000, 0.000, 0.000, 14.200
Sidewinder, 0.000, 354.600, 621.750, 286.700, 32.950, 2590.000, 1296.000, 1295.000, 0.000, 157.390
std deviation, 0.000, 10.668, 20.238, 11.874, 4.926, 0.000, 0.000, 0.000, 0.000, 8.959
Wilson, 0.000, 378.870, 584.070, 289.250, 43.810, 2590.000, 1296.000, 1295.000, 0.000, 197.680
std deviation, 0.000, 10.090, 18.211, 10.625, 5.375, 0.000, 0.000, 0.000, 0.000, 33.894
