algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter, N--S, E--W, turns
GBT/PQ cache, 0.000, 673.370, 336.260, 671.370, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 182.880, 74.320, 73.520, 188.420
std deviation, 0.000, 6.652, 13.305, 6.652, 0.000, 0.000, 0.000, 0.000, 0.000, 26.834, 8.690, 8.833, 10.950
FBT/DFS, 0.000, 171.990, 1339.020, 169.990, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 797.390, 259.300, 262.290, 817.430
std deviation, 0.000, 7.069, 14.138, 7.069, 0.000, 0.000, 0.000, 0.000, 0.000, 82.212, 18.154, 20.263, 19.635
FBT/DFS rand=N, 0.000, 2.840, 1677.320, 0.840, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 1666.240, 19.310, 1565.660, 92.350
std deviation, 0.000, 0.367, 0.733, 0.367, 0.000, 0.000, 0.000, 0.000, 0.000, 12.586, 10.385, 17.773, 17.515
FBT/DFS rand=N SW, 0.000, 2.000, 1679.000, 0.000, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 1680.000, 39.000, 1560.000, 80.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
FBT/DFS rand=N W, 0.000, 3.000, 1677.000, 1.000, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 1640.000, 19.000, 1580.000, 78.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
FBT/DFS rand=N C, 0.000, 3.000, 1677.000, 1.000, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 1660.000, 19.000, 1577.000, 81.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
FBT/BFS, 0.000, 109.520, 1463.960, 107.520, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 105.290, 711.080, 743.580, 9.300
std deviation, 0.000, 20.860, 41.720, 20.860, 0.000, 0.000, 0.000, 0.000, 0.000, 10.027, 199.510, 207.149, 2.961
FBT/BFS rand=N, 0.000, 76.740, 1529.520, 74.740, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 112.790, 1234.590, 290.200, 4.730
std deviation, 0.000, 15.913, 31.827, 15.913, 0.000, 0.000, 0.000, 0.000, 0.000, 12.568, 333.266, 327.767, 0.705
FBT/BFS rand=N SW, 0.000, 41.000, 1601.000, 39.000, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 120.000, 1599.000, 0.000, 2.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
FBT/BFS rand=N W, 0.000, 82.000, 1519.000, 80.000, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 120.000, 1517.000, 0.000, 2.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
FBT/BFS rand=N C, 0.000, 80.000, 1523.000, 78.000, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 84.000, 1157.000, 361.000, 5.000
std deviation, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
FBT/SS TL=1, 0.000, 702.580, 277.840, 700.580, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 511.670, 52.330, 53.580, 171.930
std deviation, 0.000, 6.483, 12.965, 6.483, 0.000, 0.000, 0.000, 0.000, 0.000, 58.853, 6.719, 6.187, 10.176
FBT/SS TL=10, 0.000, 645.790, 391.420, 643.790, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 190.410, 115.770, 117.700, 157.950
std deviation, 0.000, 24.811, 49.622, 24.811, 0.000, 0.000, 0.000, 0.000, 0.000, 15.094, 39.527, 37.035, 10.644
FBT/SQ TL=1, 0.000, 109.810, 1463.380, 107.810, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 104.880, 723.810, 729.990, 9.580
std deviation, 0.000, 21.929, 43.858, 21.929, 0.000, 0.000, 0.000, 0.000, 0.000, 10.180, 199.556, 194.843, 2.954
FBT/SQ TL=10, 0.000, 108.690, 1465.620, 106.690, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 106.920, 732.880, 718.740, 14.000
std deviation, 0.000, 19.813, 39.626, 19.813, 0.000, 0.000, 0.000, 0.000, 0.000, 9.102, 208.122, 205.605, 3.295
FBT/RQ, 0.000, 520.360, 642.280, 518.360, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 120.640, 161.900, 157.650, 322.730
std deviation, 0.000, 9.103, 18.207, 9.103, 0.000, 0.000, 0.000, 0.000, 0.000, 15.736, 21.874, 20.075, 14.648
FBT/PQ cache, 0.000, 656.030, 370.940, 654.030, 0.000, 3360.000, 1681.000, 1680.000, 0.000, 194.260, 75.530, 74.870, 220.540
std deviation, 0.000, 7.679, 15.358, 7.679, 0.000, 0.000, 0.000, 0.000, 0.000, 29.763, 8.770, 7.672, 14.145
